station,target_date
csengele,2024-10-07 02:00:00
csengele,2024-10-08 02:00:00
csengele,2024-10-09 02:00:00
csengele,2024-10-10 02:00:00
csengele,2024-10-11 02:00:00
csengele,2024-10-12 02:00:00
csengele,2024-11-01 01:00:00
csengele,2024-11-02 01:00:00
csengele,2024-11-03 01:00:00
csengele,2024-11-04 01:00:00
csengele,2024-11-05 01:00:00
csengele,2024-11-06 01:00:00
csengele,2024-11-07 01:00:00
csengele,2024-11-08 01:00:00
csengele,2024-11-09 01:00:00
csengele,2024-11-10 01:00:00
csengele,2024-11-11 01:00:00
csengele,2024-11-12 01:00:00
csengele,2024-12-01 01:00:00
csengele,2024-12-02 01:00:00
csengele,2024-12-03 01:00:00
csengele,2024-12-04 01:00:00
csengele,2024-12-05 01:00:00
csengele,2024-12-06 01:00:00
csengele,2024-12-07 01:00:00
csengele,2024-12-08 01:00:00
csengele,2024-12-09 01:00:00
csengele,2024-12-10 01:00:00
csengele,2024-12-11 01:00:00
csengele,2024-12-12 01:00:00
csengele,2025-01-01 01:00:00
csengele,2025-01-02 01:00:00
csengele,2025-01-03 01:00:00
csengele,2025-01-04 01:00:00
csengele,2025-01-05 01:00:00
csengele,2025-01-06 01:00:00
csengele,2025-01-07 01:00:00
csengele,2025-01-08 01:00:00
csengele,2025-01-09 01:00:00
csengele,2025-01-10 01:00:00
csengele,2025-01-11 01:00:00
csengele,2025-01-12 01:00:00
csengele,2025-02-01 01:00:00
csengele,2025-02-02 01:00:00
csengele,2025-02-03 01:00:00
csengele,2025-02-04 01:00:00
csengele,2025-02-05 01:00:00
csengele,2025-02-06 01:00:00
csengele,2025-02-07 01:00:00
